행정구역(시군구)별,총인구수 (명)
서울,9588711
부산,3369704
대구,2406296
인천,2936214
광주,1444787
대전,1457619
울산,1128163
세종,361396
경기,13479798
강원,1536175
충북,1596303
충남,2116452
전북,1796331
전남,1844148
경북,2635896
경남,3329623
제주,674484
